cluster_file	duplicated_genes	total_genes	duplication_ratio
protein_families_filtered_blast_results_id30_qcov50_scov50_wcol12_network.tsv	56145	56679	.9905
protein_families_filtered_blast_results_id30_qcov70_scov70_wcol12_network.tsv	54271	56679	.9575
protein_families_filtered_blast_results_id50_qcov90_scov90_wcol12_network.tsv	49334	56679	.8704
protein_families_filtered_blast_results_id70_qcov90_scov90_wcol12_network.tsv	44925	56679	.7926
