"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","1.69902277474702e-06","2307","30201","2169","0.0718188139465581","0.940182054616385","GO:0005829","GO:CC","cytosol","33180","367","GO:0005737;GO:0110165"
"query_1","TRUE","3.94130863447846e-06","690","30201","664","0.0219860269527499","0.96231884057971","GO:0005856","GO:CC","cytoskeleton","33180","386","GO:0043232"
"query_1","TRUE","7.11023825016904e-06","712","30201","684","0.0226482566802424","0.960674157303371","GO:0031410","GO:CC","cytoplasmic vesicle","33180","1078","GO:0005737;GO:0097708"
"query_1","TRUE","7.11023825016904e-06","712","30201","684","0.0226482566802424","0.960674157303371","GO:0097708","GO:CC","intracellular vesicle","33180","3068","GO:0031982;GO:0043231"
"query_1","TRUE","9.21033701019589e-06","755","30201","724","0.0239727161352273","0.958940397350993","GO:0031982","GO:CC","vesicle","33180","1199","GO:0043227"
"query_1","TRUE","5.76339992556104e-05","562","30201","541","0.0179133141286712","0.962633451957295","GO:0099080","GO:CC","supramolecular complex","33180","3270","GO:0110165"
"query_1","TRUE","5.94213865522019e-05","5575","30201","5166","0.171053938611304","0.926636771300448","GO:0032991","GO:CC","protein-containing complex","33180","1311","GO:0005575"
"query_1","TRUE","7.63019009667499e-05","291","30201","285","0.00943677361676766","0.979381443298969","GO:0048046","GO:CC","apoplast","33180","2151","GO:0005576"
"query_1","TRUE","0.000101845890772915","435","30201","421","0.0139399357637164","0.967816091954023","GO:0005768","GO:CC","endosome","33180","323","GO:0012505;GO:0031410"
"query_1","TRUE","0.000525508058922936","245","30201","240","0.00794675672990961","0.979591836734694","GO:0005802","GO:CC","trans-Golgi network","33180","351","GO:0098791"
"query_1","TRUE","0.000810837913865638","278","30201","271","0.00897321280752293","0.974820143884892","GO:0098791","GO:CC","Golgi apparatus subcompartment","33180","3185","GO:0005794;GO:0031984"
"query_1","TRUE","0.000822519620131877","418","30201","403","0.0133439290089732","0.964114832535885","GO:0099081","GO:CC","supramolecular polymer","33180","3271","GO:0099080"
"query_1","TRUE","0.000822519620131877","418","30201","403","0.0133439290089732","0.964114832535885","GO:0099512","GO:CC","supramolecular fiber","33180","3294","GO:0099081"
"query_1","TRUE","0.000926598506553372","416","30201","401","0.013277706036224","0.963942307692308","GO:0099513","GO:CC","polymeric cytoskeletal fiber","33180","3295","GO:0005856;GO:0099512"
"query_1","TRUE","0.00108778188565837","446","30201","429","0.0142048276547134","0.961883408071749","GO:0005774","GO:CC","vacuolar membrane","33180","328","GO:0005773;GO:0098588"
"query_1","TRUE","0.00114964042973142","493","30201","473","0.0156617330551968","0.959432048681542","GO:0000139","GO:CC","Golgi membrane","33180","18","GO:0005794;GO:0098588"
"query_1","TRUE","0.00122896799890443","906","30201","858","0.0284096553094268","0.947019867549669","GO:0031984","GO:CC","organelle subcompartment","33180","1201","GO:0043227;GO:0043229;GO:0110165"
"query_1","TRUE","0.00126370098932709","213","30201","209","0.00692030065229628","0.981220657276995","GO:0009505","GO:CC","plant-type cell wall","33180","567","GO:0005618"
"query_1","TRUE","0.00140502049516186","168","30201","166","0.00549650673818748","0.988095238095238","GO:0005615","GO:CC","extracellular space","33180","227","GO:0005576;GO:0110165"
"query_1","TRUE","0.00206849666774657","139","30201","138","0.00456938511969802","0.992805755395683","GO:0005938","GO:CC","cell cortex","33180","447","GO:0005737;GO:0071944"
"query_1","TRUE","0.00237380170585709","400","30201","385","0.01274792225423","0.9625","GO:0005874","GO:CC","microtubule","33180","399","GO:0015630;GO:0099513"
"query_1","TRUE","0.0026092416508122","1284","30201","1207","0.0399655640541704","0.940031152647975","GO:0005783","GO:CC","endoplasmic reticulum","33180","335","GO:0005737;GO:0012505;GO:0043231"
"query_1","TRUE","0.00418054278291025","590","30201","562","0.0186086553425383","0.952542372881356","GO:0005911","GO:CC","cell-cell junction","33180","426","GO:0070161"
"query_1","TRUE","0.00418054278291025","590","30201","562","0.0186086553425383","0.952542372881356","GO:0055044","GO:CC","symplast","33180","2194","GO:0110165"
"query_1","TRUE","0.00418054278291025","590","30201","562","0.0186086553425383","0.952542372881356","GO:0070161","GO:CC","anchoring junction","33180","2375","GO:0030054"
"query_1","TRUE","0.00418054278291025","590","30201","562","0.0186086553425383","0.952542372881356","GO:0009506","GO:CC","plasmodesma","33180","568","GO:0005911;GO:0055044"
"query_1","TRUE","0.00418054278291025","590","30201","562","0.0186086553425383","0.952542372881356","GO:0030054","GO:CC","cell junction","33180","844","GO:0110165"
"query_1","TRUE","0.00444093784664782","289","30201","280","0.00927121618489454","0.968858131487889","GO:0030659","GO:CC","cytoplasmic vesicle membrane","33180","923","GO:0012506;GO:0031410"
"query_1","TRUE","0.00616048706090205","477","30201","456","0.0150988377868283","0.955974842767296","GO:0015630","GO:CC","microtubule cytoskeleton","33180","687","GO:0005856"
"query_1","TRUE","0.00740042470894203","1632","30201","1526","0.0505281282076752","0.935049019607843","GO:0098588","GO:CC","bounding membrane of organelle","33180","3147","GO:0031090"
"query_1","TRUE","0.0122195331544984","290","30201","280","0.00927121618489454","0.96551724137931","GO:0012506","GO:CC","vesicle membrane","33180","667","GO:0031090;GO:0031982"
